client_number,client_name,plan_id,group_number,dental,renewal,Rnw_Single,Rnw_TwoParty,Rnw_Family,Rnw_Pchild,Rnw_Pchildren
205294,WADENA AGENCY INC,,10294041,,1/1/2020,43.68,81.12,129.26,81.12,129.26
203978,NOVUS ENERGY LLC,,10295228,,1/1/2020,39.05,72.46,115.53,72.46,115.53
233078,KITTOK SALES INC,,10298810,,1/1/2020,40.62,75.38,120.1,75.38,120.1
233082,CORNRERSTONE INVESTORS LLC,,10298813,,1/1/2020,42.62,79.01,125.98,79.01,125.98
233104,KP MANAGEMENT LLC,,10298859,,1/1/2020,42.62,79.36,125.98,79.36,125.98
233542,CITY OF EDGERTON,,10299743,,1/1/2020,39.81,73.86,117.76,73.86,117.76
234225,PILCROW SOLUTIONS LLC OPTION 1 OON MAC,,10301295,,1/1/2020,45.32,89.93,137.36,82.19,82.19
234225,PILCROW SOLUTIONS LLC OPTION 2 OON UCR 90TH,,10310214,,1/1/2020,45.32,89.93,137.36,82.19,82.19
234470,ROCHESTER TOWING LLC,,10301909,,1/1/2020,31.2,58.15,92.8,58.15,92.8
234966,GRACE HOLDING LLC DBA ABRA AUTO BODY GLASS OP,,10303232,,1/1/2020,53.77,106.73,163.05,97.52,97.52
234966,GRACE HOLDING LLC DBA ABRA AUTO BODY GLASS OP,,10310216,,1/1/2020,53.77,106.73,162.96,97.52,97.52
235179,UNITED CONTRACTORS INC,,10303828,,1/1/2020,39.81,73.86,117.76,73.86,117.76
235234,VALLEY MANUFACTURING INC,,10303967,,1/1/2020,50.31,93.27,148.77,93.27,148.77
235339,CONNECT THE GREY LLC,,10304262,,1/1/2020,46.72,86.65,138.07,86.65,138.07
235413,SPENCE DESIGNS LLC DBA SOTA CLOTHING,,10304463,,1/1/2020,41.79,77.49,123.51,77.49,123.51
235416,INTELLIGENT QUALITY SOLUTIONS DBA IQS,,10304472,,1/1/2020,48.96,90.88,144.88,90.88,144.88
235450,TONKADALE INC DBS TONKADALE GREENHOUSE,,10304556,,1/1/2020,47.09,87.29,139.22,87.29,139.22
235950,MUELLER S SENSORY WORKS LLC,,10305947,,1/1/2020,28.79,53.55,85.56,53.55,85.56
205233,SIEWERT CONSTRUCTION CO INC,,10306230,,1/1/2020,40.98,75.98,121.13,75.98,121.13
236128,FRANSEN INC DBA GLUEKS RESTAURANT BAR,,10306453,,1/1/2020,48.01,89.13,142.09,89.13,142.09
236175,LAKE STATE INC DBA TURBO DIESEL ELECTRIC,,10306594,,1/1/2020,33.36,62.15,99.11,62.15,99.11
204873,CITYWIDE FINANCE CO INC,,10307067,,1/1/2020,46.72,86.65,138.07,86.65,138.07
236358,FLAGSHIPHEALTH GROUP,,10307167,,1/1/2020,45.78,84.88,135.36,84.88,135.36
233683,TAYLOR ELECTRIC COMPANY,,10307618,,1/1/2020,40.62,75.38,120.1,75.38,120.1
236707,QUALITY EDUCATION SERVICES OF MN INC DBA AARP,,10308286,,1/1/2020,25.47,47.44,75.84,47.44,75.84
201731,MATONICH LAW PC OPTION 1 OON MAC,,10308326,,1/1/2020,45.32,89.93,137.36,82.19,82.19
201731,MATONICH LAW PC OPTION 2 OON UCR 90TH,,10310218,,1/1/2020,45.32,89.93,137.36,82.19,82.19
236742,TRISTAR POWER SYSTEMS LLC,,10308407,,1/1/2020,28.79,53.55,85.56,53.55,85.56
205986,MINDSET CONSULTING LLC OPTION 1 OON MAC,,10309400,,1/1/2020,39.92,79.14,120.81,72.31,72.31
