client_number,client_name,plan_id,group_number,dental,renewal,Rnw_Single,Rnw_TwoParty,Rnw_Family,Rnw_Pchild,Rnw_Pchildren
205294,WADENA AGENCY INC,,10294041,,1/1/2020,42.98,79.83,127.2,79.83,127.2
233078,KITTOK SALES INC,,10298810,,1/1/2020,39.97,74.18,118.18,74.18,118.18
201731,MATONICH LAW PC OPTION 1 OON MAC,,10308326,,1/1/2020,44.59,88.49,135.17,80.87,80.87
201731,MATONICH LAW PC OPTION 2 OON UCR 90TH,,10310218,,1/1/2020,44.59,88.49,135.17,80.87,80.87
233082,CORNRERSTONE INVESTORS LLC,,10298813,,1/1/2020,41.94,77.75,123.97,77.75,123.97
233104,KP MANAGEMENT LLC,,10298859,,1/1/2020,41.94,78.1,123.97,78.1,123.97
234225,PILCROW SOLUTIONS LLC OPTION 1 OON MAC,,10301295,,1/1/2020,44.59,88.49,135.17,80.87,80.87
234225,PILCROW SOLUTIONS LLC OPTION 2 OON UCR 90TH,,10310214,,1/1/2020,44.59,88.49,135.17,80.87,80.87
233542,CITY OF EDGERTON,,10299743,,1/1/2020,39.17,72.68,115.88,72.68,115.88
234470,ROCHESTER TOWING LLC,,10301909,,1/1/2020,30.71,57.22,91.32,57.22,91.32
234966,GRACE HOLDING LLC DBA ABRA AUTO BODY GLASS OP,,10303232,,1/1/2020,52.91,105.03,160.45,95.97,95.97
234966,GRACE HOLDING LLC DBA ABRA AUTO BODY GLASS OP,,10310216,,1/1/2020,52.91,105.03,160.45,95.97,95.97
235339,CONNECT THE GREY LLC,,10304262,,1/1/2020,45.98,85.27,135.86,85.27,135.86
235179,UNITED CONTRACTORS INC,,10303828,,1/1/2020,39.17,72.68,115.88,72.68,115.88
235416,SPENCE DESIGNS LLC DBA SOTA CLOTHING,,10304463,,1/1/2020,41.12,76.25,121.54,76.25,121.54
235450,TONKADALE INC DBS TONKADALE GREENHOUSE,,10304556,,1/1/2020,46.34,85.89,136.99,85.89,136.99
205233,SIEWERT CONSTRUCTION CO INC,,10306230,,1/1/2020,40.33,74.76,119.2,74.76,119.2
236128,FRANSEN INC DBA GLUEKS RESTAURANT BAR,,10306453,,1/1/2020,47.24,87.71,139.82,87.71,139.82
204873,CITYWIDE FINANCE CO INC,,10307067,,1/1/2020,45.98,85.27,135.86,85.27,135.86
236358,FLAGSHIPHEALTH GROUP,,10307167,,1/1/2020,45.05,83.53,133.2,83.53,133.2
236707,QUALITY EDUCATION SERVICES OF MN INC DBA AARP,,10308286,,1/1/2020,25.07,46.68,74.63,46.68,74.63
205986,MINDSET CONSULTING LLC OPTION 1 OON MAC,,10309400,,1/1/2020,39.28,77.88,118.89,71.16,71.16
205986,MINDSET CONSULTING LLC OPTION 2 OON UCR 90TH,,10310202,,1/1/2020,39.28,77.88,118.89,71.16,71.16
233683,TAYLOR ELECTRIC COMPANY,,10307618,,1/1/2020,39.97,74.18,118.18,74.18,118.18
235416,INTELLIGENT QUALITY SOLUTIONS DBA IQS,,10304472,,1/1/2020,48.18,89.43,142.57,89.43,142.57
235234,VALLEY MANUFACTURING INC,,10303967,,1/1/2020,49.51,91.78,146.4,91.78,146.4
236742,TRISTAR POWER SYSTEMS LLC,,10308407,,1/1/2020,28.33,52.69,84.2,52.69,84.2
235156,RECLAIM,,10325517,,1/1/2020,39.97,74.18,118.18,74.18,118.18
205300,TWIN TOWN LLC,,10326025,,1/1/2020,41.12,76.25,121.54,76.25,121.54
241193,DESTINY HOMES INC,,10331926,,1/1/2020,46.32,85.98,137.08,85.98,137.08
232543,OPTOMETRIC VISION SERVICES P A,,10332329,,1/1/2020,39.55,73.32,116.86,73.32,116.86
242040,THORNE S REFRIGERATION LLC,,10335985,,1/1/2020,44.22,82.09,130.86,82.09,130.86
241867,N963U LLC,,10335244,,1/1/2020,40.33,74.76,119.2,74.76,119.2
236631,CKU CORPORATION DBA ALPINE FARMS,,10337231,,1/1/2020,24.1,44.88,71.77,44.88,71.77
204525,RIVERS EDGE INSURANCE AGENCY,,10337250,,1/1/2020,44.22,82.09,130.86,82.09,130.86
242386,DICK S ELECTRIC INC,,10337592,,1/1/2020,26.22,48.76,77.88,48.76,77.88
242457,THE GIFT LLC,,10337985,,1/1/2020,26.22,48.76,77.88,48.76,77.88
242556,BROOKS STAPLES DBA AMERIPRISE FINANCIAL,,10338366,,1/1/2020,40.33,74.76,119.2,74.76,119.2
204931,DR GRAPHICS LLC DBA MINUTEMAN PRESS,,10337905,,1/1/2020,40.33,74.76,119.2,74.76,119.2
204552,SOUTHWEST MINNESOTA BROADBAND SERVICES,,10338119,,1/1/2020,49.87,92.54,147.53,92.54,147.53
205045,MONEYGEEKS FINANCIAL NETWORD INC,,10338253,,1/1/2020,40.33,74.76,119.2,74.76,119.2
242735,ECO GARDEN SYSTEMS,,10339091,,1/1/2020,38.44,71.32,113.65,71.32,113.65
234285,GRACE AND LUCILLE LLC,,10339252,,1/1/2020,39.55,73.32,116.86,73.32,116.86
236626,HALVERSON BLAISER GROUP,,10339525,,1/1/2020,39.77,76.54,133.75,76.54,133.75
234218,MINNESOTA HEALTHSOLUTIONS CORPORATION,,10339559,,1/1/2020,40.33,74.76,119.2,74.76,119.2
234765,IN TOUCH PHYSICAL THERAPY INC,,10339728,,1/1/2020,43.32,80.32,128.09,80.32,128.09
234281,DKMAGS INC,,10339926,,1/1/2020,40.33,74.76,119.2,74.76,119.2
243177,THE HATCH GROUP LLC,,10340552,,1/1/2020,40.33,74.76,119.2,74.76,119.2
243181,AVANT LIFE LLC,,10340563,,1/1/2020,46.32,85.98,137.08,85.98,137.08
204628,RENT TRACK LLC,,10340703,,1/1/2020,38.11,73.2,126.76,73.2,126.76
202126,NORTHERN FARMERS COOPERATIVE EXCHANGE,,10342100,,1/1/2020,38.77,71.87,114.54,71.87,114.54
235564,MYMEDS INC,,10339496,,1/1/2020,43.32,80.32,128.09,80.32,128.09
243354,CURT S TRUCK DIESEL SERVICES INC,,10341021,,1/1/2020,35.33,65.43,104.31,65.43,104.31
243557,GAPPA OIL COMPANY INC,,10341603,,1/1/2020,40.66,75.32,120.09,75.32,120.09
