Plan ID*,Rating Area ID*,Tobacco*,Age*,Individual Rate*,Tobacco Rate*
49316MN107000100,Rating Area 1,No Preference,0-14,331.58,
49316MN107000100,Rating Area 1,No Preference,15,331.58,
49316MN107000100,Rating Area 1,No Preference,16,331.58,
49316MN107000100,Rating Area 1,No Preference,17,331.58,
49316MN107000100,Rating Area 1,No Preference,18,331.58,
49316MN107000100,Rating Area 1,No Preference,19,331.58,
49316MN107000100,Rating Area 1,No Preference,20,331.58,
49316MN107000100,Rating Area 1,No Preference,21,372.56,
49316MN107000100,Rating Area 1,No Preference,22,372.56,
49316MN107000100,Rating Area 1,No Preference,23,372.56,
49316MN107000100,Rating Area 1,No Preference,24,372.56,
49316MN107000100,Rating Area 1,No Preference,25,374.05,
49316MN107000100,Rating Area 1,No Preference,26,381.51,
49316MN107000100,Rating Area 1,No Preference,27,390.45,
49316MN107000100,Rating Area 1,No Preference,28,404.98,
49316MN107000100,Rating Area 1,No Preference,29,416.90,
49316MN107000100,Rating Area 1,No Preference,30,422.86,
49316MN107000100,Rating Area 1,No Preference,31,431.80,
49316MN107000100,Rating Area 1,No Preference,32,440.74,
49316MN107000100,Rating Area 1,No Preference,33,446.33,
49316MN107000100,Rating Area 1,No Preference,34,452.29,
49316MN107000100,Rating Area 1,No Preference,35,455.27,
49316MN107000100,Rating Area 1,No Preference,36,458.25,
49316MN107000100,Rating Area 1,No Preference,37,461.23,
49316MN107000100,Rating Area 1,No Preference,38,464.21,
49316MN107000100,Rating Area 1,No Preference,39,470.18,
49316MN107000100,Rating Area 1,No Preference,40,476.14,
49316MN107000100,Rating Area 1,No Preference,41,485.08,
49316MN107000100,Rating Area 1,No Preference,42,493.65,
49316MN107000100,Rating Area 1,No Preference,43,505.57,
49316MN107000100,Rating Area 1,No Preference,44,520.47,
49316MN107000100,Rating Area 1,No Preference,45,537.98,
49316MN107000100,Rating Area 1,No Preference,46,558.85,
49316MN107000100,Rating Area 1,No Preference,47,582.32,
49316MN107000100,Rating Area 1,No Preference,48,609.14,
49316MN107000100,Rating Area 1,No Preference,49,635.59,
49316MN107000100,Rating Area 1,No Preference,50,665.40,
49316MN107000100,Rating Area 1,No Preference,51,694.83,
49316MN107000100,Rating Area 1,No Preference,52,727.24,
49316MN107000100,Rating Area 1,No Preference,53,760.03,
49316MN107000100,Rating Area 1,No Preference,54,795.42,
49316MN107000100,Rating Area 1,No Preference,55,830.82,
49316MN107000100,Rating Area 1,No Preference,56,869.19,
49316MN107000100,Rating Area 1,No Preference,57,907.94,
49316MN107000100,Rating Area 1,No Preference,58,949.29,
49316MN107000100,Rating Area 1,No Preference,59,969.78,
49316MN107000100,Rating Area 1,No Preference,60,1011.14,
49316MN107000100,Rating Area 1,No Preference,61,1046.90,
49316MN107000100,Rating Area 1,No Preference,62,1070.38,
49316MN107000100,Rating Area 1,No Preference,63,1099.81,
49316MN107000100,Rating Area 1,No Preference,64 and over,1117.68,
49316MN107000100,Rating Area 2,No Preference,0-14,287.06,
49316MN107000100,Rating Area 2,No Preference,15,287.06,
49316MN107000100,Rating Area 2,No Preference,16,287.06,
49316MN107000100,Rating Area 2,No Preference,17,287.06,
49316MN107000100,Rating Area 2,No Preference,18,287.06,
49316MN107000100,Rating Area 2,No Preference,19,287.06,
49316MN107000100,Rating Area 2,No Preference,20,287.06,
49316MN107000100,Rating Area 2,No Preference,21,322.54,
49316MN107000100,Rating Area 2,No Preference,22,322.54,
49316MN107000100,Rating Area 2,No Preference,23,322.54,
49316MN107000100,Rating Area 2,No Preference,24,322.54,
49316MN107000100,Rating Area 2,No Preference,25,323.83,
49316MN107000100,Rating Area 2,No Preference,26,330.28,
49316MN107000100,Rating Area 2,No Preference,27,338.02,
49316MN107000100,Rating Area 2,No Preference,28,350.60,
49316MN107000100,Rating Area 2,No Preference,29,360.92,
49316MN107000100,Rating Area 2,No Preference,30,366.08,
49316MN107000100,Rating Area 2,No Preference,31,373.82,
49316MN107000100,Rating Area 2,No Preference,32,381.56,
49316MN107000100,Rating Area 2,No Preference,33,386.40,
49316MN107000100,Rating Area 2,No Preference,34,391.56,
49316MN107000100,Rating Area 2,No Preference,35,394.14,
49316MN107000100,Rating Area 2,No Preference,36,396.72,
49316MN107000100,Rating Area 2,No Preference,37,399.30,
49316MN107000100,Rating Area 2,No Preference,38,401.88,
49316MN107000100,Rating Area 2,No Preference,39,407.04,
49316MN107000100,Rating Area 2,No Preference,40,412.20,
49316MN107000100,Rating Area 2,No Preference,41,419.94,
49316MN107000100,Rating Area 2,No Preference,42,427.36,
49316MN107000100,Rating Area 2,No Preference,43,437.68,
49316MN107000100,Rating Area 2,No Preference,44,450.58,
49316MN107000100,Rating Area 2,No Preference,45,465.74,
49316MN107000100,Rating Area 2,No Preference,46,483.80,
49316MN107000100,Rating Area 2,No Preference,47,504.12,
49316MN107000100,Rating Area 2,No Preference,48,527.35,
49316MN107000100,Rating Area 2,No Preference,49,550.25,
49316MN107000100,Rating Area 2,No Preference,50,576.05,
49316MN107000100,Rating Area 2,No Preference,51,601.53,
49316MN107000100,Rating Area 2,No Preference,52,629.59,
49316MN107000100,Rating Area 2,No Preference,53,657.97,
49316MN107000100,Rating Area 2,No Preference,54,688.62,
49316MN107000100,Rating Area 2,No Preference,55,719.26,
49316MN107000100,Rating Area 2,No Preference,56,752.48,
49316MN107000100,Rating Area 2,No Preference,57,786.02,
49316MN107000100,Rating Area 2,No Preference,58,821.82,
49316MN107000100,Rating Area 2,No Preference,59,839.56,
49316MN107000100,Rating Area 2,No Preference,60,875.36,
49316MN107000100,Rating Area 2,No Preference,61,906.33,
49316MN107000100,Rating Area 2,No Preference,62,926.65,
49316MN107000100,Rating Area 2,No Preference,63,952.13,
49316MN107000100,Rating Area 2,No Preference,64 and over,967.62,
49316MN107000100,Rating Area 3,No Preference,0-14,303.37,
49316MN107000100,Rating Area 3,No Preference,15,303.37,
49316MN107000100,Rating Area 3,No Preference,16,303.37,
49316MN107000100,Rating Area 3,No Preference,17,303.37,
49316MN107000100,Rating Area 3,No Preference,18,303.37,
49316MN107000100,Rating Area 3,No Preference,19,303.37,
