Plan ID*,Rating Area ID*,Tobacco*,Age*,Individual Rate*,Tobacco Rate*
57129MN022000100,Rating Area 1,No Preference,0-14,274.43,
57129MN022000100,Rating Area 1,No Preference,15,274.43,
57129MN022000100,Rating Area 1,No Preference,16,274.43,
57129MN022000100,Rating Area 1,No Preference,17,274.43,
57129MN022000100,Rating Area 1,No Preference,18,274.43,
57129MN022000100,Rating Area 1,No Preference,19,274.43,
57129MN022000100,Rating Area 1,No Preference,20,274.43,
57129MN022000100,Rating Area 1,No Preference,21,308.35,
57129MN022000100,Rating Area 1,No Preference,22,308.35,
57129MN022000100,Rating Area 1,No Preference,23,308.35,
57129MN022000100,Rating Area 1,No Preference,24,308.35,
57129MN022000100,Rating Area 1,No Preference,25,309.58,
57129MN022000100,Rating Area 1,No Preference,26,315.75,
57129MN022000100,Rating Area 1,No Preference,27,323.15,
57129MN022000100,Rating Area 1,No Preference,28,335.18,
57129MN022000100,Rating Area 1,No Preference,29,345.04,
57129MN022000100,Rating Area 1,No Preference,30,349.98,
57129MN022000100,Rating Area 1,No Preference,31,357.38,
57129MN022000100,Rating Area 1,No Preference,32,364.78,
57129MN022000100,Rating Area 1,No Preference,33,369.40,
57129MN022000100,Rating Area 1,No Preference,34,374.34,
57129MN022000100,Rating Area 1,No Preference,35,376.81,
57129MN022000100,Rating Area 1,No Preference,36,379.27,
57129MN022000100,Rating Area 1,No Preference,37,381.74,
57129MN022000100,Rating Area 1,No Preference,38,384.21,
57129MN022000100,Rating Area 1,No Preference,39,389.14,
57129MN022000100,Rating Area 1,No Preference,40,394.07,
57129MN022000100,Rating Area 1,No Preference,41,401.47,
57129MN022000100,Rating Area 1,No Preference,42,408.57,
57129MN022000100,Rating Area 1,No Preference,43,418.43,
57129MN022000100,Rating Area 1,No Preference,44,430.77,
57129MN022000100,Rating Area 1,No Preference,45,445.26,
57129MN022000100,Rating Area 1,No Preference,46,462.53,
57129MN022000100,Rating Area 1,No Preference,47,481.95,
57129MN022000100,Rating Area 1,No Preference,48,504.15,
57129MN022000100,Rating Area 1,No Preference,49,526.05,
57129MN022000100,Rating Area 1,No Preference,50,550.72,
57129MN022000100,Rating Area 1,No Preference,51,575.07,
57129MN022000100,Rating Area 1,No Preference,52,601.90,
57129MN022000100,Rating Area 1,No Preference,53,629.04,
57129MN022000100,Rating Area 1,No Preference,54,658.33,
57129MN022000100,Rating Area 1,No Preference,55,687.62,
57129MN022000100,Rating Area 1,No Preference,56,719.38,
57129MN022000100,Rating Area 1,No Preference,57,751.45,
57129MN022000100,Rating Area 1,No Preference,58,785.68,
57129MN022000100,Rating Area 1,No Preference,59,802.64,
57129MN022000100,Rating Area 1,No Preference,60,836.86,
57129MN022000100,Rating Area 1,No Preference,61,866.47,
57129MN022000100,Rating Area 1,No Preference,62,885.89,
57129MN022000100,Rating Area 1,No Preference,63,910.25,
57129MN022000100,Rating Area 1,No Preference,64 and over,925.05,
57129MN022000100,Rating Area 2,No Preference,0-14,256.29,
57129MN022000100,Rating Area 2,No Preference,15,256.29,
57129MN022000100,Rating Area 2,No Preference,16,256.29,
57129MN022000100,Rating Area 2,No Preference,17,256.29,
57129MN022000100,Rating Area 2,No Preference,18,256.29,
57129MN022000100,Rating Area 2,No Preference,19,256.29,
57129MN022000100,Rating Area 2,No Preference,20,256.29,
57129MN022000100,Rating Area 2,No Preference,21,287.97,
57129MN022000100,Rating Area 2,No Preference,22,287.97,
57129MN022000100,Rating Area 2,No Preference,23,287.97,
57129MN022000100,Rating Area 2,No Preference,24,287.97,
57129MN022000100,Rating Area 2,No Preference,25,289.12,
57129MN022000100,Rating Area 2,No Preference,26,294.88,
57129MN022000100,Rating Area 2,No Preference,27,301.79,
57129MN022000100,Rating Area 2,No Preference,28,313.02,
57129MN022000100,Rating Area 2,No Preference,29,322.23,
57129MN022000100,Rating Area 2,No Preference,30,326.84,
57129MN022000100,Rating Area 2,No Preference,31,333.75,
57129MN022000100,Rating Area 2,No Preference,32,340.66,
57129MN022000100,Rating Area 2,No Preference,33,344.98,
57129MN022000100,Rating Area 2,No Preference,34,349.59,
57129MN022000100,Rating Area 2,No Preference,35,351.90,
57129MN022000100,Rating Area 2,No Preference,36,354.20,
57129MN022000100,Rating Area 2,No Preference,37,356.50,
57129MN022000100,Rating Area 2,No Preference,38,358.81,
57129MN022000100,Rating Area 2,No Preference,39,363.41,
57129MN022000100,Rating Area 2,No Preference,40,368.02,
57129MN022000100,Rating Area 2,No Preference,41,374.93,
57129MN022000100,Rating Area 2,No Preference,42,381.56,
57129MN022000100,Rating Area 2,No Preference,43,390.77,
57129MN022000100,Rating Area 2,No Preference,44,402.29,
57129MN022000100,Rating Area 2,No Preference,45,415.82,
57129MN022000100,Rating Area 2,No Preference,46,431.95,
57129MN022000100,Rating Area 2,No Preference,47,450.09,
57129MN022000100,Rating Area 2,No Preference,48,470.83,
57129MN022000100,Rating Area 2,No Preference,49,491.27,
57129MN022000100,Rating Area 2,No Preference,50,514.31,
57129MN022000100,Rating Area 2,No Preference,51,537.06,
57129MN022000100,Rating Area 2,No Preference,52,562.11,
57129MN022000100,Rating Area 2,No Preference,53,587.45,
57129MN022000100,Rating Area 2,No Preference,54,614.81,
57129MN022000100,Rating Area 2,No Preference,55,642.17,
57129MN022000100,Rating Area 2,No Preference,56,671.83,
57129MN022000100,Rating Area 2,No Preference,57,701.77,
57129MN022000100,Rating Area 2,No Preference,58,733.74,
57129MN022000100,Rating Area 2,No Preference,59,749.58,
57129MN022000100,Rating Area 2,No Preference,60,781.54,
57129MN022000100,Rating Area 2,No Preference,61,809.19,
57129MN022000100,Rating Area 2,No Preference,62,827.33,
57129MN022000100,Rating Area 2,No Preference,63,850.08,
57129MN022000100,Rating Area 2,No Preference,64 and over,863.91,
57129MN022000100,Rating Area 3,No Preference,0-14,239.17,
57129MN022000100,Rating Area 3,No Preference,15,239.17,
57129MN022000100,Rating Area 3,No Preference,16,239.17,
57129MN022000100,Rating Area 3,No Preference,17,239.17,
57129MN022000100,Rating Area 3,No Preference,18,239.17,
57129MN022000100,Rating Area 3,No Preference,19,239.17,
57129MN022000100,Rating Area 3,No Preference,20,239.17,
57129MN022000100,Rating Area 3,No Preference,21,268.73,
57129MN022000100,Rating Area 3,No Preference,22,268.73,
57129MN022000100,Rating Area 3,No Preference,23,268.73,
57129MN022000100,Rating Area 3,No Preference,24,268.73,
57129MN022000100,Rating Area 3,No Preference,25,269.81,
57129MN022000100,Rating Area 3,No Preference,26,275.18,
57129MN022000100,Rating Area 3,No Preference,27,281.63,
57129MN022000100,Rating Area 3,No Preference,28,292.11,
57129MN022000100,Rating Area 3,No Preference,29,300.71,
57129MN022000100,Rating Area 3,No Preference,30,305.01,
57129MN022000100,Rating Area 3,No Preference,31,311.46,
57129MN022000100,Rating Area 3,No Preference,32,317.91,
57129MN022000100,Rating Area 3,No Preference,33,321.94,
